source_code,source_description,cnt
NEPTAZANE|2|TABLET|ORAL,NEPTAZANE|dose: 2|TABLET|ORAL,8
LEVOXINE|0.025|mg|ORAL,LEVOXINE|dose: 0.025|mg|ORAL,8
NITRODISC|0.2|mg|TRANSDERMAL,NITRODISC|dose: 0.2|mg|TRANSDERMAL,8
VITAMIN E|500|mg|ORAL,VITAMIN E|dose: 500|mg|ORAL,8
ZESTRIL|2|TABLET|ORAL,ZESTRIL|dose: 2|TABLET|ORAL,8
BENADRYL|25|mg|ORAL,BENADRYL|dose: 25|mg|ORAL,7
DILTIAZEM|180|mg|ORAL,DILTIAZEM|dose: 180|mg|ORAL,7
LAC-HYDRIN|12|mg|TOPICAL,LAC-HYDRIN|dose: 12|mg|TOPICAL,7
TYLENOL|500|mg|ORAL,TYLENOL|dose: 500|mg|ORAL,7
ALEVE|250|mg|ORAL,NAPROXEN SODIUM|dose: 250|mg|ORAL,7
VITAMIN C|600|mg|ORAL,VITAMIN C|dose: 600|mg|ORAL,7
DYAZIDE|37.5|mg|ORAL,DYAZIDE|dose: 37.5|mg|ORAL,7
PSORCON|0.5|mg|TOPICAL,PSORCON|dose: 0.5|mg|TOPICAL,7
DESONIDE|0.05|mg|TOPICAL,DESONIDE|dose: 0.05|mg|TOPICAL,7
HYDROCHLOROTHIAZIDE WITH TRIAMTERENE|1|TABLET|ORAL,HYDROCHLOROTHIAZIDE WITH TRIAMTERENE|dose: 1|TABLET|ORAL,7
PAPAYA|2|TABLET|ORAL,PAPAYA|dose: 2|TABLET|ORAL,7
LANSOPRAZOLE|30|mg|ORAL,LANSOPRAZOLE|dose: 30|mg|ORAL,7
PREMPRO|2.5|mg|ORAL,PREMPRO|dose: 2.5|mg|ORAL,7
TYLENOL EXTRA STRENGTH|1000|mg|ORAL,TYLENOL EXTRA STRENGTH|dose: 1000|mg|ORAL,6
LISINOPRIL|2.5|mg|ORAL,LISINOPRIL|dose: 2.5|mg|ORAL,6
ALOE VERA|1|TABLET|TOPICAL,ALOE VERA|dose: 1|TABLET|TOPICAL,6
NITROGLYCERIN|0.4|mg|SUBLINGUAL,NITROGLYCERIN|dose: 0.4|mg|SUBLINGUAL,6
DIPROLENE CREAM|1|TABLET|TOPICAL,DIPROLENE CREAM|dose: 1|TABLET|TOPICAL,6
SELDANE|60|mg|ORAL,SELDANE|dose: 60|mg|ORAL,6
ALLEGRA|60|mg|ORAL,ALLEGRA|dose: 60|mg|ORAL,6
BECONASE|1|TABLET|NASAL,BECONASE|dose: 1|TABLET|NASAL,6
COD-LIVER OIL|1|TABLET|ORAL,COD-LIVER OIL|dose: 1|TABLET|ORAL,6
STRESSTABS|0|TABLET|ORAL,STRESSTABS|dose: 0|TABLET|ORAL,6
CALAMINE|1|TABLET|TOPICAL,CALAMINE|dose: 1|TABLET|TOPICAL,6
AMOXICILLIN|250|mg|ORAL,AMOXICILLIN|dose: 250|mg|ORAL,6
ADVIL|400|mg|ORAL,ADVIL|dose: 400|mg|ORAL,6
CALCIUM MAGNESIUM|1|TABLET|ORAL,CALCIUM MAGNESIUM|dose: 1|TABLET|ORAL,6
ZINC OXIDE|1|TABLET|TOPICAL,ZINC OXIDE|dose: 1|TABLET|TOPICAL,6
TYLENOL EXTRA STRENGTH|2|TABLET|ORAL,TYLENOL EXTRA STRENGTH|dose: 2|TABLET|ORAL,6
PREMARIN VAGINAL CREAM|42.5|mg|VAGINAL,PREMARIN VAGINAL CREAM|dose: 42.5|mg|VAGINAL,6
MULTIVITAMIN|0|TABLET|ORAL,MULTIVITAMIN|dose: 0|TABLET|ORAL,6
ZEPHREX|1|TABLET|ORAL,ZEPHREX|dose: 1|TABLET|ORAL,5
MULTIVIT B|1|TABLET|ORAL,MULTIVIT B|dose: 1|TABLET|ORAL,5
ARICEPT|5|mg|ORAL,DONEPEZIL HYDROCHLORIDE|dose: 5|mg|ORAL,5
ROBITUSSIN-DM|1|TABLET|ORAL,ROBITUSSIN-DM|dose: 1|TABLET|ORAL,5
DYAZIDE|2|TABLET|ORAL,DYAZIDE|dose: 2|TABLET|ORAL,5
ROBITUSSIN-DM|2|TABLET|ORAL,ROBITUSSIN-DM|dose: 2|TABLET|ORAL,5
BIAXIN|500|mg|ORAL,BIAXIN|dose: 500|mg|ORAL,5
NAPROSYN|500|mg|ORAL,NAPROSYN|dose: 500|mg|ORAL,5
ESTRACE|2|TABLET|ORAL,ESTRACE|dose: 2|TABLET|ORAL,5
SYNTHROID|0.02|mg|ORAL,SYNTHROID|dose: 0.02|mg|ORAL,5
BENADRYL|50|mg|ORAL,BENADRYL|dose: 50|mg|ORAL,5
IMODIUM|1|TABLET|ORAL,LOPERAMIDE HYDROCHLORIDE|dose: 1|TABLET|ORAL,5
BENADRYL|2|TABLET|TOPICAL,BENADRYL|dose: 2|TABLET|TOPICAL,5
BUFFERIN|325|mg|ORAL,BUFFERIN|dose: 325|mg|ORAL,5
TUMS|1500|mg|ORAL,TUMS|dose: 1500|mg|ORAL,5
QUINAMM|5|mg|ORAL,QUINAMM|dose: 5|mg|ORAL,5
AMOXICILLIN|500|mg|ORAL,AMOXICILLIN|dose: 500|mg|ORAL,5
ARICEPT|10|mg|ORAL,DONEPEZIL HYDROCHLORIDE|dose: 10|mg|ORAL,5
SUDAFED|2|TABLET|ORAL,SUDAFED|dose: 2|TABLET|ORAL,5
HYDROCORTISONE|2|TABLET|TOPICAL,HYDROCORTISONE|dose: 2|TABLET|TOPICAL,4
TRIAMCINOLONE|0||TRANSDERMAL,TRIAMCINOLONE|dose: 0||TRANSDERMAL,4
CALAMINE LOTION|1|TABLET|TOPICAL,CALAMINE LOTION|dose: 1|TABLET|TOPICAL,4
CALAMINE LOTION|2|TABLET|TOPICAL,CALAMINE LOTION|dose: 2|TABLET|TOPICAL,4
SULFACETAMIDE|2|TABLET|OPHTHALMIC,SULFACETAMIDE|dose: 2|TABLET|OPHTHALMIC,4
GARAMYCIN OPHTHALMIC|3.5|mg|TOPICAL,GARAMYCIN OPHTHALMIC|dose: 3.5|mg|TOPICAL,4
VITAMIN B12|450|mg|ORAL,VITAMIN B12|dose: 450|mg|ORAL,4
CALAMINE LOTION|0|ng|TRANSDERMAL,CALAMINE LOTION|dose: 0|ng|TRANSDERMAL,4
LANOXIN|0.05|mg|ORAL,DIGOXIN|dose: 0.05|mg|ORAL,4
ARMOUR THYROID|2|TABLET|ORAL,ARMOUR THYROID|dose: 2|TABLET|ORAL,4
NEO-SYNEPHRINE|1|TABLET|NASAL,NEO-SYNEPHRINE|dose: 1|TABLET|NASAL,4
"CHARCOAL, ACTIVATED|1|TABLET|ORAL","CHARCOAL, ACTIVATED|dose: 1|TABLET|ORAL",4
AUGMENTIN|500|mg|ORAL,AUGMENTIN|dose: 500|mg|ORAL,4
BACTRIM|1|TABLET|ORAL,BACTRIM|dose: 1|TABLET|ORAL,4
QUERCETIN|3|mg|ORAL,QUERCETIN|dose: 3|mg|ORAL,4
VASOTEC|5|mg|ORAL,VASOTEC|dose: 5|mg|ORAL,4
PSEUDOEPHEDRINE HYDROCHLORIDE|2|TABLET|ORAL,PSEUDOEPHEDRINE HYDROCHLORIDE|dose: 2|TABLET|ORAL,4
COZAAR|50|mg|ORAL,LOSARTAN POTASSIUM|dose: 50|mg|ORAL,4
DOCUSATE SODIUM|100|mg|ORAL,DOCUSATE SODIUM|dose: 100|mg|ORAL,4
"HYDROCORTISONE, TOPICAL|1|TABLET|TRANSDERMAL","HYDROCORTISONE, TOPICAL|dose: 1|TABLET|TRANSDERMAL",4
PROVERA|5|mg|ORAL,PROVERA|dose: 5|mg|ORAL,4
PREPARATION H|1|TABLET|TOPICAL,PREPARATION H|dose: 1|TABLET|TOPICAL,4
TYLENOL W/CODEINE NO. 4|1|TABLET|ORAL,TYLENOL W/CODEINE NO. 4|dose: 1|TABLET|ORAL,4
GINKGO BILOBA|60|mg|ORAL,GINKGO BILOBA|dose: 60|mg|ORAL,4
ANACIN|800|mg|ORAL,ANACIN|dose: 800|mg|ORAL,4
ACETAMINOPHEN|650|mg|ORAL,ACETAMINOPHEN|dose: 650|mg|ORAL,4
HYDROCORTISONE VALERATE|1|TABLET|TOPICAL,HYDROCORTISONE VALERATE|dose: 1|TABLET|TOPICAL,4
SURFAK|240|mg|ORAL,SURFAK|dose: 240|mg|ORAL,4
PROPULSID|10|mg|ORAL,PROPULSID|dose: 10|mg|ORAL,4
ANACIN|1|TABLET|ORAL,ANACIN|dose: 1|TABLET|ORAL,4
SYNTHROID|0.5|mg|ORAL,SYNTHROID|dose: 0.5|mg|ORAL,4
"HYDROCORTISONE, TOPICAL|25|mg|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 25|mg|TOPICAL",3
ICY HOT|1|TABLET|TOPICAL,ICY HOT|dose: 1|TABLET|TOPICAL,3
ROBITUSSIN|2|TABLET|ORAL,ROBITUSSIN|dose: 2|TABLET|ORAL,3
MELATONIN|4|mg|ORAL,MELATONIN|dose: 4|mg|ORAL,3
CALAMINE LOTION|0|mg|TOPICAL,CALAMINE LOTION|dose: 0|mg|TOPICAL,3
HISMANAL|1|TABLET|ORAL,HISMANAL|dose: 1|TABLET|ORAL,3
POLYSPORIN OINTMENT|1|TABLET|TOPICAL,POLYSPORIN OINTMENT|dose: 1|TABLET|TOPICAL,3
TRIMOX|500|mg|ORAL,TRIMOX|dose: 500|mg|ORAL,3
CALAMINE LOTION|0||TOPICAL,CALAMINE LOTION|dose: 0||TOPICAL,3
FLUOCINOLONE ACETONIDE|1|TABLET|TOPICAL,FLUOCINOLONE ACETONIDE|dose: 1|TABLET|TOPICAL,3
BENZONATATE|100|mg|ORAL,BENZONATATE|dose: 100|mg|ORAL,3
ZESTORETIC|1|TABLET|ORAL,ZESTORETIC|dose: 1|TABLET|ORAL,3
POLYSPORIN|1|TABLET|TOPICAL,POLYSPORIN|dose: 1|TABLET|TOPICAL,3
RHINOCORT|8|mg|NASAL,BUDESONIDE|dose: 8|mg|NASAL,3
GUAIFENEX|1200|mg|ORAL,GUAIFENEX|dose: 1200|mg|ORAL,3
LIPITOR|10|mg|ORAL,LIPITOR|dose: 10|mg|ORAL,3
DIPHENHYDRAMINE HYDROCHLORIDE|1|TABLET|TOPICAL,DIPHENHYDRAMINE HYDROCHLORIDE|dose: 1|TABLET|TOPICAL,3
SULFAMETHOXAZOLE|1|TABLET|ORAL,SULFAMETHOXAZOLE|dose: 1|TABLET|ORAL,3
XANAX|0.5|mg|ORAL,ALPRAZOLAM|dose: 0.5|mg|ORAL,2
ERYTHROMYCIN|1000|mg|ORAL,ERYTHROMYCIN|dose: 1000|mg|ORAL,2
LANACANE|0||TOPICAL,LANACANE|dose: 0||TOPICAL,2
CEPHALOSPORIN C|1|TABLET|OPHTHALMIC,CEPHALOSPORIN C|dose: 1|TABLET|OPHTHALMIC,2
ROBITUSSIN A-C|2|TABLET|ORAL,ROBITUSSIN A-C|dose: 2|TABLET|ORAL,2
TERAZOL|1|TABLET|VAGINAL,TERAZOL|dose: 1|TABLET|VAGINAL,2
TOPICORT|0.25|mg|TOPICAL,TOPICORT|dose: 0.25|mg|TOPICAL,2
ALBUTEROL|1|TABLET|RESPIRATORY (INHALATION),ALBUTEROL|dose: 1|TABLET|RESPIRATORY (INHALATION),2
CEPHALEXIN|500|mg|ORAL,CEPHALEXIN|dose: 500|mg|ORAL,2
HYDROCORTISONE|0.25|mg|TOPICAL,HYDROCORTISONE|dose: 0.25|mg|TOPICAL,2
GUIATUSS|1|TABLET|ORAL,GUIATUSS|dose: 1|TABLET|ORAL,2
IMODIUM A-D|1|TABLET|ORAL,IMODIUM A-D|dose: 1|TABLET|ORAL,2
INFLUENZA VIRUS VACCINE|0.5|mg|INTRAMUSCULAR,INFLUENZA VIRUS VACCINE|dose: 0.5|mg|INTRAMUSCULAR,2
LAC-HYDRIN|0||TOPICAL,LAC-HYDRIN|dose: 0||TOPICAL,2
COZAAR|25|mg|ORAL,LOSARTAN POTASSIUM|dose: 25|mg|ORAL,2
NASAL SPRAY|1|TABLET|NASAL,NASAL SPRAY|dose: 1|TABLET|NASAL,2
METRONIDAZOLE|250|mg|ORAL,METRONIDAZOLE|dose: 250|mg|ORAL,2
MECLIZINE|25|mg|ORAL,MECLIZINE|dose: 25|mg|ORAL,2
CIMETIDINE|400|mg|ORAL,CIMETIDINE|dose: 400|mg|ORAL,2
PSEUDO-CHLOR|1|TABLET|ORAL,PSEUDO-CHLOR|dose: 1|TABLET|ORAL,2
PEPCID AC|1|TABLET|ORAL,PEPCID AC|dose: 1|TABLET|ORAL,2
DIPROLENE CREAM|0.5|mg|TOPICAL,DIPROLENE CREAM|dose: 0.5|mg|TOPICAL,2
BIAXIN|1|TABLET|ORAL,BIAXIN|dose: 1|TABLET|ORAL,2
CAPOTEN|50|mg|ORAL,CAPOTEN|dose: 50|mg|ORAL,2
PERTUSSIN SYRUP|1|TABLET|ORAL,PERTUSSIN SYRUP|dose: 1|TABLET|ORAL,2
"HYDROCORTISONE, TOPICAL|5|mg|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 5|mg|TOPICAL",2
DALMANE|15|mg|ORAL,DALMANE|dose: 15|mg|ORAL,2
PILOCARPINE HYDROCHLORIDE|2|TABLET|OPHTHALMIC,PILOCARPINE HYDROCHLORIDE|dose: 2|TABLET|OPHTHALMIC,2
DOXYCYCLINE|100|mg|ORAL,DOXYCYCLINE|dose: 100|mg|ORAL,2
ERYTHROMYCIN|500|mg|ORAL,ERYTHROMYCIN|dose: 500|mg|ORAL,2
MELATONIN|2|TABLET|ORAL,MELATONIN|dose: 2|TABLET|ORAL,2
CEFTIN|250|mg|ORAL,CEFTIN|dose: 250|mg|ORAL,2
CIPRO|500|mg|ORAL,CIPRO|dose: 500|mg|ORAL,2
MEVACOR|20|mg|ORAL,MEVACOR|dose: 20|mg|ORAL,2
HYDROCODONE|1|TABLET|ORAL,HYDROCODONE|dose: 1|TABLET|ORAL,2
PREMPRO|0.625|mg|ORAL,PREMPRO|dose: 0.625|mg|ORAL,2
GUAIFENESIN|600|mg|ORAL,GUAIFENESIN|dose: 600|mg|ORAL,2
MOTRIN|200|mg|ORAL,MOTRIN|dose: 200|mg|ORAL,1
HYDROCODONE W/APAP|500|mg|ORAL,HYDROCODONE W/APAP|dose: 500|mg|ORAL,1
GENERAL ANESTHESIA|0||INTRAVENOUS,GENERAL ANESTHESIA|dose: 0||INTRAVENOUS,1
DHEA|25|mg|ORAL,DHEA|dose: 25|mg|ORAL,1
PROVENTIL|4|mg|ORAL,SALBUTAMOL SULFATE|dose: 4|mg|ORAL,1
ROCEPHIN|0||,ROCEPHIN|dose: 0||,1
PROPULSID|20|mg|ORAL,PROPULSID|dose: 20|mg|ORAL,1
PROCARDIA|30|mg|ORAL,PROCARDIA|dose: 30|mg|ORAL,1
LASIX|20|mg|INTRAVENOUS,FUROSEMIDE|dose: 20|mg|INTRAVENOUS,1
AMOXICILLIN|1|TABLET|ORAL,AMOXICILLIN|dose: 1|TABLET|ORAL,1
DROPERIDOL|0||,DROPERIDOL|dose: 0||,1
BENADRYL|12.5|mg|INTRAVENOUS,BENADRYL|dose: 12.5|mg|INTRAVENOUS,1
CIPRO|0|mg|ORAL,CIPRO|dose: 0|mg|ORAL,1
PEPCID|40|mg|ORAL,PEPCID|dose: 40|mg|ORAL,1
PLENDIL|5|mg|ORAL,FELODIPINE|dose: 5|mg|ORAL,1
PEPCID|20|mg|ORAL,PEPCID|dose: 20|mg|ORAL,1
DILTIAZEM HYDROCHLORIDE|180|mg|ORAL,DILTIAZEM HYDROCHLORIDE|dose: 180|mg|ORAL,1
DEMEROL|50|mg|INTRAVENOUS,DEMEROL|dose: 50|mg|INTRAVENOUS,1
LOPRESSOR|25|mg|ORAL,LOPRESSOR|dose: 25|mg|ORAL,1
ATIVAN|2|TABLET|ORAL,ATIVAN|dose: 2|TABLET|ORAL,1
TEMOVATE|1|TABLET|TOPICAL,CLOBETASOL PROPIONATE|dose: 1|TABLET|TOPICAL,1
PHENERGAN|25|mg|RECTAL,PHENERGAN|dose: 25|mg|RECTAL,1
MAGNESIUM OXIDE|400|mg|ORAL,MAGNESIUM OXIDE|dose: 400|mg|ORAL,1
DIPHENHYDRAMINE HYDROCHLORIDE|25|mg|ORAL,DIPHENHYDRAMINE HYDROCHLORIDE|dose: 25|mg|ORAL,1
CORICIDIN D|1|TABLET|ORAL,CORICIDIN D|dose: 1|TABLET|ORAL,1
BROMATANE DX|1|TABLET|ORAL,BROMATANE DX|dose: 1|TABLET|ORAL,1
AMPICILLIN|250|mg|ORAL,AMPICILLIN|dose: 250|mg|ORAL,1
FELDENE|10|mg|ORAL,FELDENE|dose: 10|mg|ORAL,1
KAOPECTATE|1|TABLET|ORAL,KAOPECTATE|dose: 1|TABLET|ORAL,1
PHENAZOPYRIDINE|200|mg|ORAL,PHENAZOPYRIDINE|dose: 200|mg|ORAL,1
HYGROTON|50|mg|ORAL,HYGROTON|dose: 50|mg|ORAL,1
LANOXIN|0.5|mg|ORAL,DIGOXIN|dose: 0.5|mg|ORAL,1
PAXIL|10|mg|ORAL,PAROXETINE HYDROCHLORIDE|dose: 10|mg|ORAL,1
CHLORPHENIRAMINE MALEATE|4|mg|ORAL,CHLORPHENIRAMINE MALEATE|dose: 4|mg|ORAL,1
PROMETHAZINE HCL W/CODEINE|1|TABLET|ORAL,PROMETHAZINE HCL W/CODEINE|dose: 1|TABLET|ORAL,1
CARDIZEM|30|mg|ORAL,DILTIAZEM HYDROCHLORIDE|dose: 30|mg|ORAL,1
MAALOX|2|TABLET|ORAL,ALGELDRATE|dose: 2|TABLET|ORAL,1
ZANTAC|150|mg|ORAL,ZANTAC|dose: 150|mg|ORAL,1
FEOSOL|325|mg|ORAL,FEOSOL|dose: 325|mg|ORAL,1
ACCUPRIL|30|mg|ORAL,ACCUPRIL|dose: 30|mg|ORAL,1
CHLORAL HYDRATE|3|mg|ORAL,CHLORAL HYDRATE|dose: 3|mg|ORAL,1
HALOTUSSIN-DM|1|TABLET|ORAL,HALOTUSSIN-DM|dose: 1|TABLET|ORAL,1
NAPROXEN|375|mg|ORAL,NAPROXEN|dose: 375|mg|ORAL,1
ZOLOFT|100|mg|ORAL,ZOLOFT|dose: 100|mg|ORAL,1
FLUOROPLEX|1|TABLET|TOPICAL,FLUOROPLEX|dose: 1|TABLET|TOPICAL,1
TAGAMET|150|mg|ORAL,CIMETIDINE|dose: 150|mg|ORAL,1
VICKS FORMULA 44D|1|TABLET|ORAL,VICKS FORMULA 44D|dose: 1|TABLET|ORAL,1
SINEMET|2|TABLET|ORAL,SINEMET|dose: 2|TABLET|ORAL,1
VASOTEC|10|mg|ORAL,VASOTEC|dose: 10|mg|ORAL,1
ANTIHISTAMINES FOR SYSTEMIC USE|2|TABLET|ORAL,ANTIHISTAMINES FOR SYSTEMIC USE|dose: 2|TABLET|ORAL,1
HALDOL|1|TABLET|INTRAMUSCULAR,HALOPERIDOL|dose: 1|TABLET|INTRAMUSCULAR,1
PREDNISONE|20|mg|ORAL,PREDNISONE|dose: 20|mg|ORAL,1
LORAZEPAM|1|TABLET|ORAL,LORAZEPAM|dose: 1|TABLET|ORAL,1
ALLEGRA|2|TABLET|ORAL,ALLEGRA|dose: 2|TABLET|ORAL,1
WESTCORT|1|TABLET|TOPICAL,WESTCORT|dose: 1|TABLET|TOPICAL,1
DONEPEZIL HYDROCHLORIDE|5|mg|ORAL,DONEPEZIL HYDROCHLORIDE|dose: 5|mg|ORAL,1
INFLUENZA VIRUS VACCINE|1|TABLET|INTRAMUSCULAR,INFLUENZA VIRUS VACCINE|dose: 1|TABLET|INTRAMUSCULAR,1
DEBROX|5|mg|AURICULAR (OTIC),DEBROX|dose: 5|mg|AURICULAR (OTIC),1
PNEUMOVAX|0.5|mg|INTRAMUSCULAR,PNEUMOVAX|dose: 0.5|mg|INTRAMUSCULAR,1
OLANZAPINE|10|mg|ORAL,OLANZAPINE|dose: 10|mg|ORAL,1
MEDROL DOSEPAK|4|mg|ORAL,MEDROL DOSEPAK|dose: 4|mg|ORAL,1
TYLENOL W/CODEINE NO. 3|2|TABLET|ORAL,TYLENOL W/CODEINE NO. 3|dose: 2|TABLET|ORAL,1
CEFACLOR|500|mg|ORAL,CEFACLOR|dose: 500|mg|ORAL,1
PROMETHAZINE HCL W/CODEINE|2|TABLET|ORAL,PROMETHAZINE HCL W/CODEINE|dose: 2|TABLET|ORAL,1
IBUPROFEN|500|mg|ORAL,IBUPROFEN|dose: 500|mg|ORAL,1
PEPTO-BISMOL|1|TABLET|ORAL,PEPTO-BISMOL|dose: 1|TABLET|ORAL,1
ALOES|1|TABLET|TOPICAL,ALOES|dose: 1|TABLET|TOPICAL,1
POTASSIUM CHLORIDE|10|mg|ORAL,POTASSIUM CHLORIDE|dose: 10|mg|ORAL,1
PRAVACHOL|20|mg|ORAL,PRAVACHOL|dose: 20|mg|ORAL,1
LOPRESSOR|50|mg|ORAL,LOPRESSOR|dose: 50|mg|ORAL,1
ADALAT|60|mg|ORAL,NIFEDIPINE|dose: 60|mg|ORAL,1
TORADOL|0||,TORADOL|dose: 0||,1
WESTCORT|0.2|mg|TOPICAL,WESTCORT|dose: 0.2|mg|TOPICAL,1
ERYTHROMYCIN|1|TABLET|OPHTHALMIC,ERYTHROMYCIN|dose: 1|TABLET|OPHTHALMIC,1
LOMOTIL|2.5|mg|ORAL,LOMOTIL|dose: 2.5|mg|ORAL,1
BENADRYL|75|mg|ORAL,BENADRYL|dose: 75|mg|ORAL,1
PHENERGAN|0||,PHENERGAN|dose: 0||,1
"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS|1|TABLET|TOPICAL","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS|dose: 1|TABLET|TOPICAL",1
ZITHROMAX|250|mg|ORAL,ZITHROMAX|dose: 250|mg|ORAL,1
SUDAFED|60|mg|ORAL,SUDAFED|dose: 60|mg|ORAL,1
MAVIK|1|TABLET|ORAL,MAVIK|dose: 1|TABLET|ORAL,1
